first_name,last_name,company_name,address,city,state,zip,phone1,phone2,email,department
James,Butt,"Benton, John B Jr",6649 N Blue Gum St,New Orleans,LA,70116,504-621-8927,504-845-1427,jbutt@gmail.com,Sales
James,Butt,"Benton, John B Jr",6649 N Blue Gum St,New Orleans,LA,70116,504-621-8927,504-845-1427,jbutt@gmail.com,Marketing
Josephine,Darakjy,"Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,MI,48116,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,Human Resources
Art,Venere,"Chemel, James L Cpa",8 W Cerritos Ave #54,Bridgeport,NJ,8014,856-636-8749,856-264-4130,art@venere.org,Purchasing
Lenna,Paprocki,Feltz Printing Service,639 Main St,Anchorage,AK,99501,907-385-4412,907-921-2010,lpaprocki@hotmail.com,Marketing
Donette,Foller,Printing Dimensions,34 Center St,Hamilton,OH,45011,513-570-1893,513-549-4561,donette.foller@cox.net,Production
Simona,Morasca,"Chapman, Ross E Esq",3 Mcauley Dr,Ashland,OH,44805,419-503-2484,419-800-6759,simona@morasca.com,Research and Development
Mitsue,Tollner,Morlong Associates,7 Eads St,Chicago,IL,60632,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,Finances
Leota,Dilliard,Commercial Press,7 W Jackson Blvd,San Jose,CA,95111,408-752-3500,408-813-1105,leota@hotmail.com,Sales
Sage,Wieser,Truhlar And Truhlar Attys,5 Boston Ave #88,Sioux Falls,SD,57105,605-414-2147,605-794-4895,sage_wieser@cox.net,Human Resources
Kris,Marrier,"King, Christopher A Esq",228 Runamuck Pl #2808,Baltimore,MD,21224,410-655-8723,410-804-4694,kris@gmail.com,Purchasing
Minna,Amigon,"Dorl, James J Esq",2371 Jerrold Ave,Kulpsville,PA,19443,215-874-1229,215-422-8694,minna_amigon@yahoo.com,Marketing
Abel,Maclead,Rangoni Of Florence,37275 St  Rt 17m M,Middle Island,NY,11953,631-335-3414,631-677-3675,amaclead@gmail.com,Production
Kiley,Caldarera,Feiner Bros,25 E 75th St #69,Los Angeles,CA,90034,310-498-5651,310-254-3084,kiley.caldarera@aol.com,Research and Development
Graciela,Ruta,Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,440-780-8425,440-579-7763,gruta@cox.net,Finances
Cammy,Albares,"Rousseaux, Michael Esq",56 E Morehead St,Laredo,TX,78045,956-537-6195,956-841-7216,calbares@gmail.com,Sales
Mattie,Poquette,Century Communications,73 State Road 434 E,Phoenix,AZ,85013,602-277-4385,602-953-6360,mattie@aol.com,Human Resources
Meaghan,Garufi,"Bolton, Wilbur Esq",69734 E Carrillo St,Mc Minnville,TN,37110,931-313-9635,931-235-7959,meaghan@hotmail.com,Purchasing
Gladys,Rim,T M Byxbee Company Pc,322 New Horizon Blvd,Milwaukee,WI,53207,414-661-9598,414-377-2880,gladys.rim@rim.org,Marketing
Yuki,Whobrey,Farmers Insurance Group,1 State Route 27,Taylor,MI,48180,313-288-7937,313-341-4470,yuki_whobrey@aol.com,Production
Fletcher,Flosi,Post Box Services Plus,394 Manchester Blvd,Rockford,IL,61109,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com,Research and Development
Bette,Nicka,Sport En Art,6 S 33rd St,Aston,PA,19014,610-545-3615,610-492-4643,bette_nicka@cox.net,Finances
